Ticker,Name,Price,P/E
SHB.A,Svenska Handelsbanken Series A,91.2,8.92
MSFT,Microsoft Corp.,"$
290.80",30.16
GOOG,Alphabet Inc. Cl C,"$
121.17",22.56
